법정동코드,법정동명,최하지역명
2671025031,부산광역시 기장군 기장읍 석산리,석산리
2671025032,부산광역시 기장군 기장읍 당사리,당사리
2671025033,부산광역시 기장군 기장읍 시랑리,시랑리
2671025034,부산광역시 기장군 기장읍 내리,내리
2671025300,부산광역시 기장군 장안읍,장안읍
2671025321,부산광역시 기장군 장안읍 좌천리,좌천리
2671025322,부산광역시 기장군 장안읍 효암리,효암리
2671025323,부산광역시 기장군 장안읍 고리,고리
2671025324,부산광역시 기장군 장안읍 좌동리,좌동리
2671025325,부산광역시 기장군 장안읍 장안리,장안리
2671025326,부산광역시 기장군 장안읍 덕선리,덕선리
2671025327,부산광역시 기장군 장안읍 용소리,용소리
2671025328,부산광역시 기장군 장안읍 기룡리,기룡리
2671025329,부산광역시 기장군 장안읍 명례리,명례리
2671025330,부산광역시 기장군 장안읍 월내리,월내리
2671025331,부산광역시 기장군 장안읍 반룡리,반룡리
2671025332,부산광역시 기장군 장안읍 임랑리,임랑리
2671025333,부산광역시 기장군 장안읍 오리,오리
2671025334,부산광역시 기장군 장안읍 길천리,길천리
2671025600,부산광역시 기장군 정관읍,정관읍
2671025621,부산광역시 기장군 정관읍 방곡리,방곡리
2671025622,부산광역시 기장군 정관읍 매학리,매학리
2671025623,부산광역시 기장군 정관읍 임곡리,임곡리
2671025624,부산광역시 기장군 정관읍 월평리,월평리
2671025625,부산광역시 기장군 정관읍 달산리,달산리
2671025626,부산광역시 기장군 정관읍 병산리,병산리
2671025627,부산광역시 기장군 정관읍 모전리,모전리
2671025628,부산광역시 기장군 정관읍 용수리,용수리
2671025629,부산광역시 기장군 정관읍 두명리,두명리
2671025630,부산광역시 기장군 정관읍 예림리,예림리
2671031000,부산광역시 기장군 일광면,일광면
2671031021,부산광역시 기장군 일광면 삼성리,삼성리
2671031022,부산광역시 기장군 일광면 이천리,이천리
2671031023,부산광역시 기장군 일광면 학리,학리
2671031024,부산광역시 기장군 일광면 동백리,동백리
2671031025,부산광역시 기장군 일광면 문중리,문중리
2671031026,부산광역시 기장군 일광면 신평리,신평리
2671031027,부산광역시 기장군 일광면 칠암리,칠암리
2671031028,부산광역시 기장군 일광면 문동리,문동리
2671031029,부산광역시 기장군 일광면 청광리,청광리
2671031030,부산광역시 기장군 일광면 원리,원리
2671031031,부산광역시 기장군 일광면 화전리,화전리
2671031032,부산광역시 기장군 일광면 횡계리,횡계리
2671031033,부산광역시 기장군 일광면 용천리,용천리
2671033000,부산광역시 기장군 철마면,철마면
2671033021,부산광역시 기장군 철마면 와여리,와여리
2671033022,부산광역시 기장군 철마면 장전리,장전리
2671033023,부산광역시 기장군 철마면 백길리,백길리
2671033024,부산광역시 기장군 철마면 송정리,송정리
2671033025,부산광역시 기장군 철마면 웅천리,웅천리
2671033026,부산광역시 기장군 철마면 연구리,연구리
2671033027,부산광역시 기장군 철마면 구칠리,구칠리
2671033028,부산광역시 기장군 철마면 이곡리,이곡리
2671033029,부산광역시 기장군 철마면 고촌리,고촌리
2671033030,부산광역시 기장군 철마면 안평리,안평리
2671033031,부산광역시 기장군 철마면 임기리,임기리
